IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
150.230.192.173,2087,2087,true,HKG,Asia Pacific,Hong Kong,141,7.21
138.3.220.4,2086,2086,false,SIN,Asia Pacific,Singapore,150,7.21
151.145.69.105,2082,2082,false,HKG,Asia Pacific,Hong Kong,185,7.21
89.168.120.96,443,443,true,FRA,Europe,Frankfurt,177,7.21
131.186.59.232,8080,8080,false,HKG,Asia Pacific,Hong Kong,135,7.20
158.101.150.74,2087,2087,true,LAX,North America,Los Angeles,290,7.20
150.230.212.213,8080,8080,false,HKG,Asia Pacific,Hong Kong,141,7.19
140.238.41.253,2095,2095,false,HKG,Asia Pacific,Hong Kong,141,7.19
158.101.201.26,443,443,true,FRA,Europe,Frankfurt,168,7.19
150.230.192.173,2053,2053,true,NRT,Asia Pacific,Tokyo,121,7.19
140.238.33.94,8880,8880,false,NRT,Asia Pacific,Tokyo,81,7.19
138.2.29.102,2087,2087,true,HKG,Asia Pacific,Hong Kong,149,7.18
138.2.13.200,2053,2053,true,SIN,Asia Pacific,Singapore,183,7.18
130.61.109.6,2096,443,true,FRA,Europe,Frankfurt,176,7.18
132.145.120.115,8080,8080,false,HKG,Asia Pacific,Hong Kong,193,7.18
140.238.61.78,8880,8880,false,HKG,Asia Pacific,Hong Kong,198,7.18
132.226.6.5,2086,2086,false,HKG,Asia Pacific,Hong Kong,141,7.17
151.145.69.105,2095,2095,false,HKG,Asia Pacific,Hong Kong,133,7.17
150.230.212.87,8443,8443,true,NRT,Asia Pacific,Tokyo,78,7.17
130.162.160.0,443,443,true,FRA,Europe,Frankfurt,173,7.16
140.238.39.21,2087,2087,true,LAX,North America,Los Angeles,222,7.16
141.147.66.36,443,443,true,FRA,Europe,Frankfurt,188,7.16
140.238.35.138,2095,2095,false,HKG,Asia Pacific,Hong Kong,149,7.15
140.238.62.12,8880,8880,false,SIN,Asia Pacific,Singapore,212,7.15
